,en_curid,name,numlangs,birthcity,birthstate,countryName,countryCode,countryCode3,LAT,LON,continentName,birthyear,gender,occupation,industry,domain,TotalPageViews,L_star,StdDevPageViews,PageViewsEnglish,PageViewsNonEnglish,AverageViews,HPI
9016,1436643,Jussi Jääskeläinen,29,Mikkeli,,FINLAND,FI,FIN,61.683333,27.266666999999998,Europe,1975,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,864268,5.25218353,5679.910637,543566,320702,29802.344830000002,16.50502383
3389,97817,Carl Nielsen,35,Sortelung,,DENMARK,DK,DNK,55.311389,10.414444,Europe,1865,Male,COMPOSER,MUSIC,ARTS,864188,9.156175842,2175.270638,329647,534541,24691.08571,24.271638199999998
10676,14840034,Samak Sundaravej,31,Bangkok,,THAILAND,TH,THA,13.75,100.466667,Asia,1935,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,863457,5.292310579,11793.1817,238309,625148,27853.451610000004,21.60544339
4033,157544,Jugurtha,30,Tunisia,,Tunisia,TN,TUN,34.0,9.0,Africa,-160,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,863346,9.245520304,4143.513792,195453,667893,28778.2,25.64256126
7451,559753,Michael D. Higgins,47,Limerick,,IRELAND,IE,IRL,52.6653,-8.6238,Europe,1941,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,863209,3.752055905,22294.16534,641226,221983,18366.14894,19.94743584
7582,599923,Vytautas the Great,33,Senieji Trakai,,LITHUANIA,LT,LTU,54.61666700000001,24.966667,Europe,1350,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,863024,9.464142939,5772.45057,124688,738336,26152.24242,24.67328429
11253,30505888,Moncef Marzouki,29,Grombalia,,TUNISIA,TN,TUN,36.6,10.5,Africa,1945,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,861991,5.376332866,20768.78683,185797,676194,29723.827589999997,20.68068226
7848,670993,Vítor Baía,28,São Pedro da Afurada,,Portugal,PT,PRT,41.145,-8.646,Europe,1969,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,861797,8.823006903,4252.8447590000005,285474,576323,30778.464289999996,18.82418639
61,1576,Afonso de Albuquerque,35,Vila Franca de Xira,,Portugal,PT,PRT,38.95,-8.983333,Europe,1453,Male,NOBLEMAN,GOVERNMENT,INSTITUTIONS,858672,8.567428844,4210.306735,393153,465519,24533.48571,24.36005082
6830,411093,Georgi Dimitrov,38,Kovachevtsi,,BULGARIA,BG,BGR,42.55,22.816667000000002,Europe,1882,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,857670,12.63426922,3603.2575840000004,235022,622648,22570.26316,24.22816216
