,en_curid,name,numlangs,birthcity,birthstate,countryName,countryCode,countryCode3,LAT,LON,continentName,birthyear,gender,occupation,industry,domain,TotalPageViews,L_star,StdDevPageViews,PageViewsEnglish,PageViewsNonEnglish,AverageViews,HPI,image_path
11095,23939880,Sócrates,48,Belém do Pará,,Brazil,BR,BRA,,,South America,1954,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,2114113,7.157771666,60448.934989999994,967705,1146408,44044.02083,20.43936235,images/sócrates.png
9376,1965280,Kevin Kurányi,38,Rio de Janeiro,,Brazil,BR,BRA,-22.908333,-43.196389,South America,1982,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,1981036,7.816565117000001,14565.568980000002,618320,1362716,52132.52632,17.36053993,images/kevin-kurányi.png
5832,297412,Antônio Carlos Jobim,39,Tijuca,,BRAZIL,BR,BRA,-22.92551,-43.252140000000004,South America,1927,Male,MUSICIAN,MUSIC,ARTS,1967630,7.724190582,12513.28102,356802,1610828,50452.05128,23.99443832,images/antônio-carlos-jobim.png
9019,1438361,Cicinho,31,Pradópolis,,BRAZIL,BR,BRA,-21.359444,-48.065556,South America,1980,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,1933126,9.120943367,11983.55954,551811,1381315,62358.903229999996,17.82628159,images/cicinho.png
9803,3139272,Grafite,31,São Paulo,,Brazil,BR,BRA,-23.186389000000002,-46.884167,South America,1979,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,1929978,7.016615413999999,15712.433030000002,824999,1104979,62257.35484,17.23262479,images/grafite.png
10133,5249831,Denílson Pereira Neves,35,São Paulo,,BRAZIL,BR,BRA,-23.55,-46.633333,South America,1988,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,1905963,5.828459972999999,8783.595831999999,1102192,803771,54456.08571,15.911717900000001,images/denílson-pereira-neves.png
9081,1497143,Nelson de Jesus Silva,40,Irará,,BRAZIL,BR,BRA,-12.05,-38.766944,South America,1973,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,1900007,7.80087387,12096.415009999999,746,1899261,47500.175,19.355377999999998,images/nelson-de-jesus-silva.png
10102,5107539,Marcos Senna,36,São Paulo,,Brazil,BR,BRA,-23.55,-46.633333,South America,1976,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,1829053,8.321692532,18541.231,745619,1083434,50807.027780000004,17.80336231,images/marcos-senna.png
4513,177293,Gilberto Gil,32,Salvador,,BRAZIL,BR,BRA,-12.974722,-38.476667,South America,1942,Male,MUSICIAN,MUSIC,ARTS,1799746,5.868145963,5884.28467,439342,1360404,56242.0625,23.87988999,images/gilberto-gil.png
5345,241678,Emerson Fittipaldi,34,São Paulo,,BRAZIL,BR,BRA,-23.55,-46.633333,South America,1946,Male,RACECAR DRIVER,INDIVIDUAL SPORTS,SPORTS,1795935,9.398484993,9304.433309999999,619906,1176029,52821.61765,23.33516021,images/emerson-fittipaldi.png
11287,31335052,Paula Fernandes,52,Sete Lagoas,,BRAZIL,BR,BRA,-19.465833,-44.246944,South America,1984,Female,SINGER,MUSIC,ARTS,1763528,2.2673625090000002,26173.50685,160583,1602945,33914.0,15.56271954,images/paula-fernandes.png
7260,505947,João Gilberto,28,Juazeiro,,BRAZIL,BR,BRA,-9.430556,-40.502778,South America,1931,Male,MUSICIAN,MUSIC,ARTS,1751827,6.3795628660000006,4162.453718,630746,1121081,62565.25,24.05952771,images/joão-gilberto.png
9219,1681476,Emerson Ferreira da Rosa,35,Pelotas,,BRAZIL,BR,BRA,-31.771944,-52.3425,South America,1976,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,1646716,10.00759265,5061.113203,463774,1182942,47049.02857,19.24093392,images/emerson-ferreira-da-rosa.png
10593,12320195,Givanildo Vieira de Souza,34,Campina Grande,,BRAZIL,BR,BRA,-7.230556,-35.881111,South America,1986,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,1636391,3.804268944,28344.68454,15383,1621008,48129.14706,15.17477256,images/givanildo-vieira-de-souza.png
